00:53:07.900 [ - ] Logger creado 	 ->memoria.go:41
00:53:07.900 [ - ] Configuración cargada exitosamente 	 ->memoria.go:57
00:53:07.900 [ - ] ******** Inicializando Particiones Dinámicas 	 ->Dinamicas.go:17
00:53:07.900 [ i ] --- Comienzo ejecución MEMORIA --- 	 ->memoria.go:70
00:53:07.900 [ i ] Server activo en 127.0.0.1:8083 	 ->memoria.go:89
00:53:16.923 [ - ] Request recibida de: 127.0.0.1:56680 	 ->createProcess.go:20
00:53:16.924 [ - ] MinSize inical: 8192 	 ->Best.go:20
00:53:16.924 [ - ] Particion encontrada: &{0 8192 false -1} 	 ->Best.go:30
00:53:16.924 [ - ] Particion encontrada: &{0 8192 false -1} 	 ->Dinamicas.go:30
00:53:16.924 [ - ] Nuevas particiones: [{0 16 true 0} {16 8192 false 0}] 	 ->Dinamicas.go:64
00:53:16.924 [ - ] Particiones antes de agregar: [{0 8192 false -1}] 	 ->Dinamicas.go:65
00:53:16.924 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 8192 false 0}] 	 ->Dinamicas.go:70
00:53:16.924 [ - ] Se fracciono la particion Base: 0 Limite: 8192  	 ->Dinamicas.go:71
00:53:16.924 [ - ] Se asigno el proceso PID: < 0 > a la particion Base: 0 Limite 16 	 ->Dinamicas.go:82
00:53:16.924 [ i ] Particiones: [{0 16 true 0} {16 8192 false 0}] 	 ->Dinamicas.go:83
00:53:16.924 [ i ] Contexto creado para el hilo - (PID:TID): (0, 0): {0 16 0 0 0 0 0 0 0 0 0} 	 ->createProcess.go:86
00:53:16.924 [ i ] ## Proceso Creado - PID: < 0 > - Tamaño: < 16 > 	 ->createProcess.go:89
00:53:16.924 [ - ] Request recibida de: 127.0.0.1:56696 	 ->getContext.go:22
00:53:16.924 [ - ] Contexto a buscar - (PID:TID) - (0,0) 	 ->getContext.go:28
00:53:16.924 [ - ] Contexto hayado: {0 16 0 0 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:16.924 [ i ] Contexto Solicitado - (PID:TID) - (0,0) 	 ->getContext.go:60
00:53:16.975 [ - ] Request recibida de: 127.0.0.1:56696 	 ->getInstruction.go:22
00:53:16.975 [ i ] ## Obtener instrucción - (PID:TID) - (0:0) - Instrucción: SET AX 10 	 ->getInstruction.go:48
00:53:17.025 [ - ] Request recibida de: 127.0.0.1:56696 	 ->getInstruction.go:22
00:53:17.025 [ i ] ## Obtener instrucción - (PID:TID) - (0:0) - Instrucción: SET BX 1 	 ->getInstruction.go:48
00:53:17.076 [ - ] Request recibida de: 127.0.0.1:56696 	 ->getInstruction.go:22
00:53:17.076 [ i ] ## Obtener instrucción - (PID:TID) - (0:0) - Instrucción: PROCESS_CREATE PLANI_PROC 16 0 	 ->getInstruction.go:48
00:53:17.127 [ - ] Request recibida de: 127.0.0.1:56710 	 ->createProcess.go:20
00:53:17.127 [ - ] MinSize inical: 8176 	 ->Best.go:20
00:53:17.127 [ - ] Particion encontrada: &{16 8192 false 0} 	 ->Best.go:30
00:53:17.127 [ - ] Particion encontrada: &{16 8192 false 0} 	 ->Dinamicas.go:30
00:53:17.127 [ - ] Nuevas particiones: [{16 32 true 1} {32 8192 false 0}] 	 ->Dinamicas.go:64
00:53:17.127 [ - ] Particiones antes de agregar: [{0 16 true 0} {16 8192 false 0}] 	 ->Dinamicas.go:65
00:53:17.127 [ - ] # Request recibida de: 127.0.0.1:56696 	 ->saveContext.go:21
00:53:17.127 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 32 true 1} {32 8192 false 0}] 	 ->Dinamicas.go:70
00:53:17.127 [ - ] Se fracciono la particion Base: 16 Limite: 8192  	 ->Dinamicas.go:71
00:53:17.127 [ - ] Se asigno el proceso PID: < 1 > a la particion Base: 16 Limite 32 	 ->Dinamicas.go:82
00:53:17.127 [ - ] Contexto guardado exitosamente: {0 16 3 10 1 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:17.127 [ i ] ## Contexto Actualizado - (PID:TID) - (0:0) 	 ->saveContext.go:70
00:53:17.127 [ i ] Particiones: [{0 16 true 0} {16 32 true 1} {32 8192 false 0}] 	 ->Dinamicas.go:83
00:53:17.127 [ i ] Contexto creado para el hilo - (PID:TID): (1, 0): {16 16 0 0 0 0 0 0 0 0 0} 	 ->createProcess.go:86
00:53:17.127 [ i ] ## Proceso Creado - PID: < 1 > - Tamaño: < 16 > 	 ->createProcess.go:89
00:53:17.177 [ - ] Request recibida de: 127.0.0.1:56718 	 ->getContext.go:22
00:53:17.177 [ - ] Contexto a buscar - (PID:TID) - (0,0) 	 ->getContext.go:28
00:53:17.177 [ - ] Contexto hayado: {0 16 3 10 1 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:17.177 [ i ] Contexto Solicitado - (PID:TID) - (0,0) 	 ->getContext.go:60
00:53:17.228 [ - ] # Request recibida de: 127.0.0.1:56718 	 ->saveContext.go:21
00:53:17.228 [ - ] Contexto guardado exitosamente: {0 16 3 10 1 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:17.228 [ i ] ## Contexto Actualizado - (PID:TID) - (0:0) 	 ->saveContext.go:70
00:53:17.278 [ - ] Request recibida de: 127.0.0.1:56734 	 ->getContext.go:22
00:53:17.278 [ - ] Contexto a buscar - (PID:TID) - (1,0) 	 ->getContext.go:28
00:53:17.278 [ - ] Contexto hayado: {16 16 0 0 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:17.279 [ i ] Contexto Solicitado - (PID:TID) - (1,0) 	 ->getContext.go:60
00:53:17.329 [ - ] Request recibida de: 127.0.0.1:56734 	 ->getInstruction.go:22
00:53:17.329 [ i ] ## Obtener instrucción - (PID:TID) - (1:0) - Instrucción: SET DX 0 	 ->getInstruction.go:48
00:53:17.379 [ - ] Request recibida de: 127.0.0.1:56734 	 ->getInstruction.go:22
00:53:17.379 [ i ] ## Obtener instrucción - (PID:TID) - (1:0) - Instrucción: SET AX 1 	 ->getInstruction.go:48
00:53:17.430 [ - ] Request recibida de: 127.0.0.1:56734 	 ->getInstruction.go:22
